word,count,probability
instants,1,7.805182641273806e-05
linked,1,7.805182641273806e-05
limiting,1,7.805182641273806e-05
limitations,1,7.805182641273806e-05
lies,1,7.805182641273806e-05
licensed,1,7.805182641273806e-05
liberty,1,7.805182641273806e-05
liberator,1,7.805182641273806e-05
liberation,1,7.805182641273806e-05
liberating,1,7.805182641273806e-05
level,1,7.805182641273806e-05
legitimately,1,7.805182641273806e-05
legally,1,7.805182641273806e-05
learnt,1,7.805182641273806e-05
lay,1,7.805182641273806e-05
launched,1,7.805182641273806e-05
latin,1,7.805182641273806e-05
larger,1,7.805182641273806e-05
lapse,1,7.805182641273806e-05
lake,1,7.805182641273806e-05
knowable,1,7.805182641273806e-05
knives,1,7.805182641273806e-05
knits,1,7.805182641273806e-05
killed,1,7.805182641273806e-05
lips,1,7.805182641273806e-05
keynes,1,7.805182641273806e-05
live,1,7.805182641273806e-05
locations,1,7.805182641273806e-05
melt,1,7.805182641273806e-05
meanings,1,7.805182641273806e-05
maximum,1,7.805182641273806e-05
match,1,7.805182641273806e-05
marriage,1,7.805182641273806e-05
marching,1,7.805182641273806e-05
march,1,7.805182641273806e-05
manager,1,7.805182641273806e-05
majority,1,7.805182641273806e-05
maintaining,1,7.805182641273806e-05
maintain,1,7.805182641273806e-05
magnifies,1,7.805182641273806e-05
machine,1,7.805182641273806e-05
lying,1,7.805182641273806e-05
luminously,1,7.805182641273806e-05
lowest,1,7.805182641273806e-05
loud,1,7.805182641273806e-05
lot,1,7.805182641273806e-05
loosen,1,7.805182641273806e-05
loose,1,7.805182641273806e-05
looked,1,7.805182641273806e-05
logician,1,7.805182641273806e-05
locke,1,7.805182641273806e-05
lived,1,7.805182641273806e-05
keener,1,7.805182641273806e-05
kantian,1,7.805182641273806e-05
justly,1,7.805182641273806e-05
inspiration,1,7.805182641273806e-05
insoluble,1,7.805182641273806e-05
insistent,1,7.805182641273806e-05
inquired,1,7.805182641273806e-05
inquire,1,7.805182641273806e-05
inoperative,1,7.805182641273806e-05
innocent,1,7.805182641273806e-05
innate,1,7.805182641273806e-05
inherent,1,7.805182641273806e-05
inhabited,1,7.805182641273806e-05
inhabitants,1,7.805182641273806e-05
infringement,1,7.805182641273806e-05
infringed,1,7.805182641273806e-05
influence,1,7.805182641273806e-05
inflections,1,7.805182641273806e-05
inflected,1,7.805182641273806e-05
infinitum,1,7.805182641273806e-05
infinitesimal,1,7.805182641273806e-05
inferring,1,7.805182641273806e-05
infected,1,7.805182641273806e-05
infancy,1,7.805182641273806e-05
infallibility,1,7.805182641273806e-05
inexplicable,1,7.805182641273806e-05
yield,1,7.805182641273806e-05
instincts,1,7.805182641273806e-05
instrument,1,7.805182641273806e-05
insubstantial,1,7.805182641273806e-05
june,1,7.805182641273806e-05
joint,1,7.805182641273806e-05
isolation,1,7.805182641273806e-05
irs,1,7.805182641273806e-05
irrefutable,1,7.805182641273806e-05
invites,1,7.805182641273806e-05
investigations,1,7.805182641273806e-05
inventions,1,7.805182641273806e-05
inventing,1,7.805182641273806e-05
invented,1,7.805182641273806e-05
invalidity,1,7.805182641273806e-05
men's,1,7.805182641273806e-05
intuitively,1,7.805182641273806e-05
interrupted,1,7.805182641273806e-05
interrelation,1,7.805182641273806e-05
interpreted,1,7.805182641273806e-05
interpret,1,7.805182641273806e-05
international,1,7.805182641273806e-05
intermediary,1,7.805182641273806e-05
interferes,1,7.805182641273806e-05
interact,1,7.805182641273806e-05
intently,1,7.805182641273806e-05
intended,1,7.805182641273806e-05
intelligent,1,7.805182641273806e-05
introduce,1,7.805182641273806e-05
inevitable,1,7.805182641273806e-05
